title,url
Spy x Family Code: White,https://www.metacritic.com/movie/spy-x-family-code-white/
We Grown Now,https://www.metacritic.com/movie/we-grown-now/
The Hopeful,https://www.metacritic.com/movie/the-hopeful/
Deadly Justice,https://www.metacritic.com/movie/deadly-justice/
The Star City Murders,https://www.metacritic.com/movie/the-star-city-murders/
Class of Her Own,https://www.metacritic.com/movie/class-of-her-own/
The Brink Of,https://www.metacritic.com/movie/the-brink-of/
An American Bombing: The Road to April 19th,https://www.metacritic.com/movie/an-american-bombing-the-road-to-april-19th/
Irena's Vow,https://www.metacritic.com/movie/irenas-vow/
Resistance: They Fought Back,https://www.metacritic.com/movie/resistance-they-fought-back/
Lost Angel: The Genius of Judee Sill,https://www.metacritic.com/movie/lost-angel-the-genius-of-judee-sill/
In Bed,https://www.metacritic.com/movie/in-bed/
A Forgotten Man,https://www.metacritic.com/movie/a-forgotten-man/
Sweet Dreams,https://www.metacritic.com/movie/sweet-dreams-2023/
Don't Tell Mom the Babysitter's Dead,https://www.metacritic.com/movie/dont-tell-mom-the-babysitters-dead-2024/
Sasquatch Sunset,https://www.metacritic.com/movie/sasquatch-sunset/
Civil War,https://www.metacritic.com/movie/civil-war/
A Journey,https://www.metacritic.com/movie/a-journey/
Disappear Completely,https://www.metacritic.com/movie/disappear-completely/
Omen,https://www.metacritic.com/movie/omen/
Sweet Dreams,https://www.metacritic.com/movie/sweet-dreams-2024/
Arcadian,https://www.metacritic.com/movie/arcadian/
In Flames,https://www.metacritic.com/movie/in-flames/
Chime,https://www.metacritic.com/movie/chime/
"LaRoy, Texas",https://www.metacritic.com/movie/laroy-texas/
Sting,https://www.metacritic.com/movie/sting/
The Long Game,https://www.metacritic.com/movie/the-long-game/
Damaged,https://www.metacritic.com/movie/damaged/
The Absence of Eden,https://www.metacritic.com/movie/the-absence-of-eden/
Amar Singh Chamkila,https://www.metacritic.com/movie/amar-singh-chamkila/
Stolen,https://www.metacritic.com/movie/stolen-2024/
"Love, Divided",https://www.metacritic.com/movie/love-divided/
Enter the Clones of Bruce,https://www.metacritic.com/movie/enter-the-clones-of-bruce/
Woody Woodpecker Goes to Camp,https://www.metacritic.com/movie/woody-woodpecker-goes-to-camp/
All You Need Is Death,https://www.metacritic.com/movie/all-you-need-is-death/
Suga: August D Tour 'D-Day' the Movie,https://www.metacritic.com/movie/suga-august-d-tour-d-day-the-movie/
What Jennifer Did,https://www.metacritic.com/movie/what-jennifer-did/
Indigo Girls: It's Only Life After All,https://www.metacritic.com/movie/indigo-girls-its-only-life-after-all/
Becky,https://www.metacritic.com/movie/becky-2024/
Wes Is Dying,https://www.metacritic.com/movie/wes-is-dying/
North of Normal,https://www.metacritic.com/movie/north-of-normal/
"Food, Inc. 2",https://www.metacritic.com/movie/food-inc-2/
The Wild,https://www.metacritic.com/movie/the-wild-2023/
Brandy Hellville & the Cult of Fast Fashion,https://www.metacritic.com/movie/brandy-hellville-the-cult-of-fast-fashion/
The Penultimate,https://www.metacritic.com/movie/the-penultimate/
Pure O,https://www.metacritic.com/movie/pure-o/
The People's Joker,https://www.metacritic.com/movie/the-peoples-joker/
A Bit of Light,https://www.metacritic.com/movie/a-bit-of-light/
Festival of the Living Dead,https://www.metacritic.com/movie/festival-of-the-living-dead/
Chicken for Linda!,https://www.metacritic.com/movie/chicken-for-linda!/
The Old Oak,https://www.metacritic.com/movie/the-old-oak/
Strictly Confidential,https://www.metacritic.com/movie/strictly-confidential/
Kim's Video,https://www.metacritic.com/movie/kims-video/
Girls State,https://www.metacritic.com/movie/girls-state/
Scoop,https://www.metacritic.com/movie/scoop-2024/
The Greatest Hits,https://www.metacritic.com/movie/the-greatest-hits/
Housekeeping for Beginners,https://www.metacritic.com/movie/housekeeping-for-beginners/
Monkey Man,https://www.metacritic.com/movie/monkey-man/
Yannick,https://www.metacritic.com/movie/yannick/
Parachute,https://www.metacritic.com/movie/parachute/
Monkey Man,https://www.metacritic.com/movie/monkey-man/
The Beast,https://www.metacritic.com/movie/the-beast-2023/
The First Omen,https://www.metacritic.com/movie/the-first-omen/
Kim's Video,https://www.metacritic.com/movie/kims-video/
Girls State,https://www.metacritic.com/movie/girls-state/
Strictly Confidential,https://www.metacritic.com/movie/strictly-confidential/
The Influencer,https://www.metacritic.com/movie/the-influencer/
Coup de Chance,https://www.metacritic.com/movie/coup-de-chance/
Gateway,https://www.metacritic.com/movie/gateway/
Música,https://www.metacritic.com/movie/musica/
The Tearsmith,https://www.metacritic.com/movie/the-tearsmith/
Zero to Hero,https://www.metacritic.com/movie/zero-to-hero/
A Perfect Day for Caribou,https://www.metacritic.com/movie/a-perfect-day-for-caribou/
The Glenarma Tapes,https://www.metacritic.com/movie/the-glenarma-tapes/
Someone Like You,https://www.metacritic.com/movie/someone-like-you-2024/
Mister Sleep,https://www.metacritic.com/movie/mister-sleep/
Baby Assassins 2,https://www.metacritic.com/movie/baby-assassins-2/
Dagr,https://www.metacritic.com/movie/dagr/
Bray Wyatt: Becoming Immortal,https://www.metacritic.com/movie/bray-wyatt-becoming-immortal/
Jersey Bred,https://www.metacritic.com/movie/jersey-bred/
Handshake,https://www.metacritic.com/movie/handshake/
The Lie: The Murder of Grace Millane,https://www.metacritic.com/movie/the-lie-the-murder-of-grace-millane/
A Fragile Flower,https://www.metacritic.com/movie/a-fragile-flower/
With Love and a Major Organ,https://www.metacritic.com/movie/with-love-and-a-major-organ/
Lousy Carter,https://www.metacritic.com/movie/lousy-carter/
The Windigo,https://www.metacritic.com/movie/the-windigo/
Hotel (2004),https://www.metacritic.com/movie/hotel-2004/
A Cat's Life,https://www.metacritic.com/movie/a-cats-life/
The Listener,https://www.metacritic.com/movie/the-listener/
DogMan,https://www.metacritic.com/movie/dogman-2023/
Against All Enemies,https://www.metacritic.com/movie/against-all-enemies/
Sue Bird: In the Clutch,https://www.metacritic.com/movie/sue-bird-in-the-clutch/
Spermworld,https://www.metacritic.com/movie/spermworld/
Bag of Lies,https://www.metacritic.com/movie/bag-of-lies/
Madu,https://www.metacritic.com/movie/madu/
La Chimera,https://www.metacritic.com/movie/la-chimera/
In the Land of Saints and Sinners,https://www.metacritic.com/movie/in-the-land-of-saints-and-sinners/
Lovely Rita (2001),https://www.metacritic.com/movie/lovely-rita-2001/
Godzilla x Kong: The New Empire,https://www.metacritic.com/movie/godzilla-x-kong-the-new-empire/
On the Adamant,https://www.metacritic.com/movie/on-the-adamant/
The Beautiful Game,https://www.metacritic.com/movie/the-beautiful-game/
"Farewell, Mr. Haffmann",https://www.metacritic.com/movie/farewell-mr-haffmann/
Wicked Little Letters,https://www.metacritic.com/movie/wicked-little-letters/
The Wages of Fear,https://www.metacritic.com/movie/the-wages-of-fear-2024/
Asphalt City,https://www.metacritic.com/movie/asphalt-city/
Karaoke,https://www.metacritic.com/movie/karaoke/
Heart of the Hunter,https://www.metacritic.com/movie/heart-of-the-hunter/
Mind Body & Soul,https://www.metacritic.com/movie/mind-body-soul/
Hate to Love: Nickelback,https://www.metacritic.com/movie/hate-to-love-nickelback/
No Pressure,https://www.metacritic.com/movie/no-pressure/
Rest in Peace,https://www.metacritic.com/movie/rest-in-peace/
Powder Pup,https://www.metacritic.com/movie/powder-pup/
Extraneous Matter Complete Edition,https://www.metacritic.com/movie/extraneous-matter-complete-edition/
Handle with Care: The Legend of the Notic Streetball Crew,https://www.metacritic.com/movie/handle-with-care-the-legend-of-the-notic-streetball-crew/
Polar Rescue,https://www.metacritic.com/movie/polar-rescue/
Snow Valley,https://www.metacritic.com/movie/snow-valley/
Easter Bloody Easter,https://www.metacritic.com/movie/easter-bloody-easter/
Transition,https://www.metacritic.com/movie/transition/
